name,ra,dec,dist,pmra,pmdec,rv,rcluster,n_star
ASCC_10,51.87,34.981,685.4009595613434,-1.7369999999999999,-1.368,0,0.5579999999999999,0
ASCC_101,288.399,36.369,401.92926045016077,0.934,1.288,0,0.37200000000000005,0
ASCC_105,295.548,27.366,560.8524957936062,1.464,-1.635,0,0.648,0
ASCC_107,297.164,21.987,901.7132551848513,-0.155,-5.156000000000001,0,0.174,0
ASCC_108,298.306,39.349000000000004,1193.3174224343677,-0.519,-1.69,0,0.537,0
ASCC_11,53.056000000000004,44.856,876.4241893076248,0.9259999999999999,-3.03,0,0.312,0
ASCC_110,300.742,33.528,2012.0724346076456,0.271,-3.1319999999999997,0,0.203,0
ASCC_111,302.89099999999996,37.515,857.6329331046313,-1.15,-1.524,0,0.537,0
ASCC_113,317.933,38.638000000000005,567.5368898978435,0.8,-3.679,0,0.529,0
ASCC_114,324.99,53.997,938.0863039399626,-3.716,-3.4210000000000003,0,0.21600000000000003,0
ASCC_115,329.28,51.558,762.7765064836003,-0.5489999999999999,-0.5429999999999999,0,0.25,0
ASCC_12,72.4,41.744,1062.6992561105208,-0.634,-2.7939999999999996,0,0.303,0
ASCC_123,340.29900000000004,53.986000000000004,234.63162834350072,12.093,-1.4069999999999998,0,1.294,0
ASCC_127,347.205,64.97399999999999,379.79491074819595,7.474,-1.745,0,0.627,0
ASCC_128,349.949,54.435,662.6905235255135,1.236,0.18600000000000003,0,0.513,0
ASCC_13,78.255,44.417,1113.5857461024498,-0.473,-1.743,0,0.609,0
ASCC_16,81.19800000000001,1.655,352.36081747709653,1.355,-0.015,0,0.376,0
ASCC_19,81.98200000000001,-1.9869999999999999,361.271676300578,1.1520000000000001,-1.234,0,0.605,0
ASCC_21,82.179,3.5269999999999997,348.91835310537334,1.4040000000000001,-0.632,0,0.41,0
ASCC_23,95.04700000000001,46.71,627.3525721455458,1.0979999999999999,-0.598,0,0.319,0
ASCC_29,103.571,-1.67,1059.322033898305,-1.008,-1.0190000000000001,0,0.13699999999999998,0
ASCC_30,104.271,-6.23,1114.8272017837235,-1.595,-0.171,0,0.27,0
ASCC_32,105.714,-26.511999999999997,813.0081300813008,-3.307,3.477,0,0.6559999999999999,0
ASCC_41,116.67399999999999,0.13699999999999998,298.3293556085919,0.6459999999999999,-3.99,0,0.679,0
ASCC_58,153.657,-55.001000000000005,485.43689320388347,-13.276,2.786,0,0.5920000000000001,0
ASCC_6,26.846,57.722,1610.3059581320451,-0.838,0.21100000000000002,0,0.188,0
ASCC_66,168.36700000000002,-55.437,1001.0010010010009,-11.331,2.969,0,0.09699999999999999,0
ASCC_67,175.28,-61.013000000000005,2074.688796680498,-6.766,0.919,0,0.183,0
ASCC_71,185.033,-67.509,1272.2646310432572,-9.272,-1.351,0,0.255,0
ASCC_73,189.28099999999998,-67.203,658.7615283267457,-11.539000000000001,-2.945,0,0.988,0
ASCC_77,212.69400000000002,-62.331,1187.648456057007,-4.243,-3.22,0,0.179,0
ASCC_79,229.731,-60.798,850.3401360544218,-2.9139999999999997,-4.232,0,0.98,0
ASCC_85,251.85299999999998,-45.555,893.6550491510277,0.17,-4.102,0,0.35700000000000004,0
ASCC_87,255.658,-28.421,787.4015748031496,-1.18,-3.8139999999999996,0,0.34700000000000003,0
ASCC_88,256.88599999999997,-35.564,911.5770282588879,0.919,-3.282,0,0.37200000000000005,0
ASCC_9,41.67100000000001,57.743,2463.054187192118,0.166,-1.099,0,0.215,0
ASCC_90,264.777,-34.874,583.7711617046118,-1.63,-2.681,0,0.38799999999999996,0
ASCC_97,279.263,-19.139,574.7126436781609,-2.331,-6.507999999999999,0,0.14,0
ASCC_99,282.17,-18.488,297.000297000297,5.188,-1.311,0,0.643,0
Alessi_1,13.343,49.536,719.4244604316548,6.5360000000000005,-6.245,0,0.249,0
Alessi_10,301.233,-10.555,447.82803403493057,1.469,-7.879,0,0.266,0
Alessi_12,310.875,23.871,550.6607929515419,4.303,-4.638999999999999,0,0.682,0
Alessi_13,51.762,-35.821,104.34056761268782,36.332,-4.709,0,1.361,0
Alessi_15,100.76700000000001,1.672,10752.68817204301,-0.182,0.469,0,0.008,0
Alessi_17,113.853,-15.097999999999999,3787.8787878787875,-1.526,1.557,0,0.022000000000000002,0
Alessi_18,114.295,-26.386,7936.507936507936,-1.261,1.79,0,0.019,0
Alessi_19,274.741,12.311,584.7953216374269,-1.005,-7.0729999999999995,0,0.595,0
Alessi_2,71.602,55.199,629.3266205160478,-0.904,-1.046,0,0.5539999999999999,0
Alessi_20,2.593,58.742,432.7131112072696,8.195,-2.3409999999999997,0,0.235,0
Alessi_21,107.69,-9.363,581.3953488372093,-5.475,2.602,0,0.467,0
Alessi_24,260.764,-62.693000000000005,485.67265662943174,-0.488,-8.999,0,0.466,0
Alessi_3,109.275,-46.141999999999996,280.4262478968031,-9.875,11.958,0,1.541,0
Alessi_31,267.698,-11.853,677.0480704129994,-1.1640000000000001,-4.122,0,0.331,0
Alessi_37,341.961,46.342,722.543352601156,0.35100000000000003,-1.569,0,0.423,0
Alessi_43,132.631,-41.738,968.9922480620155,-5.546,3.8689999999999998,0,0.29,0
Alessi_44,295.325,1.5919999999999999,668.4491978609626,0.46299999999999997,-2.325,0,1.296,0
Alessi_5,160.819,-61.081,399.84006397441027,-15.411,2.503,0,0.542,0
Alessi_53,97.352,9.18,5050.50505050505,0.431,-0.201,0,0.022000000000000002,0
Alessi_59,103.07799999999999,2.1959999999999997,4405.286343612335,-0.54,0.28300000000000003,0,0.006,0
Alessi_6,220.058,-66.127,909.090909090909,-10.472000000000001,-5.559,0,0.294,0
Alessi_60,105.619,-1.12,2976.190476190476,-0.83,-0.653,0,0.048,0
Alessi_62,284.026,21.596999999999998,628.5355122564425,0.245,-1.074,0,0.256,0
Alessi_8,232.408,-51.227,676.1325219743069,-5.899,-5.729,0,0.22399999999999998,0
Alessi_9,265.974,-47.028,207.3828287017835,9.916,-9.157,0,1.73,0
Alessi_Teutsch_11,304.127,52.051,657.8947368421052,-0.139,-1.295,0,0.257,0
Alessi_Teutsch_12,255.421,-58.981,612.7450980392157,-2.134,-8.952,0,0.489,0
Alessi_Teutsch_3,118.228,-53.022,705.7163020465773,-5.377999999999999,8.926,0,0.491,0
Alessi_Teutsch_5,332.218,61.103,900.0900090009001,-1.895,-3.207,0,0.42700000000000005,0
Alessi_Teutsch_8,180.649,-60.935,1034.1261633919337,-6.625,1.63,0,0.298,0
Andrews_Lindsay_5,281.079,-4.931,7299.270072992702,-0.9009999999999999,-3.562,0,0.023,0
Antalova_2,262.462,-32.541,1187.648456057007,2.037,-1.65,0,0.09699999999999999,0
Archinal_1,283.709,5.55,1901.1406844106464,-0.225,-1.578,0,0.04,0
Arp_Madore_2,114.68299999999999,-33.845,25641.02564102564,-0.513,1.225,0,0.026000000000000002,0
Auner_1,106.06,-19.748,10752.68817204301,-0.28,1.015,0,0.026000000000000002,0
Aveni_Hunter_1,354.175,48.205,425.8943781942078,-0.184,-2.0869999999999997,0,0.496,0
BDSB30,333.667,61.433,901.7132551848513,-1.579,-3.005,0,0.024,0
BDSB91,96.319,-10.550999999999998,968.0542110358181,-3.1830000000000003,1.15,0,0.036000000000000004,0
BDSB93,104.29700000000001,-8.202,1298.7012987012986,-2.41,1.021,0,0.036000000000000004,0
BDSB96,106.33200000000001,-12.327,1184.8341232227488,-3.843,1.071,0,0.045,0
BH_111,167.32,-63.833999999999996,2949.8525073746314,-8.176,2.9410000000000003,0,0.028999999999999998,0
BH_118,170.765,-58.549,15384.615384615385,-4.406000000000001,1.45,0,0.023,0
BH_121,174.66099999999997,-63.387,2583.9793281653747,-6.0,0.63,0,0.154,0
BH_132,186.72,-64.058,2762.430939226519,-6.22,-0.177,0,0.046,0
BH_144,198.808,-65.92,22222.222222222223,-5.111000000000001,-0.375,0,0.024,0
BH_150,204.50599999999997,-63.346000000000004,5617.977528089887,-6.395,-1.534,0,0.025,0
BH_151,205.051,-61.731,5681.818181818181,-5.853,-1.8780000000000001,0,0.008,0
BH_164,222.31099999999998,-66.465,423.0118443316413,-7.367999999999999,-10.714,0,0.639,0
BH_19,121.76799999999999,-32.355,5263.157894736842,-2.897,3.5469999999999997,0,0.025,0
BH_200,252.484,-44.181999999999995,2463.054187192118,-0.025,-1.1320000000000001,0,0.054000000000000006,0
BH_202,253.77900000000002,-40.946999999999996,1814.8820326678765,-1.869,-3.802,0,0.064,0
BH_205,254.053,-40.635999999999996,1757.4692442882251,-0.15,-1.083,0,0.09699999999999999,0
BH_211,255.535,-41.113,1908.3969465648854,-0.6709999999999999,-1.943,0,0.08199999999999999,0
BH_217,259.07099999999997,-40.815,3225.8064516129034,-0.6609999999999999,-1.8259999999999998,0,0.039,0
BH_221,259.64099999999996,-32.334,1131.2217194570135,2.0,-1.568,0,0.152,0
BH_222,259.694,-38.289,8771.929824561403,-2.0909999999999997,-3.1919999999999997,0,0.02,0
BH_23,123.449,-36.329,443.0660168365087,-7.101,7.35,0,0.37200000000000005,0
BH_245,266.561,-29.7,2976.190476190476,-0.49700000000000005,-2.194,0,0.016,0
BH_37,128.946,-43.61,4115.22633744856,-3.484,3.9530000000000003,0,0.034,0
BH_54,132.41299999999998,-44.353,2380.952380952381,-4.7589999999999995,5.244,0,0.048,0
BH_55,134.042,-39.518,5405.405405405406,-3.971,3.1180000000000003,0,0.048,0
BH_56,134.355,-43.181000000000004,927.6437847866418,-5.57,5.439,0,0.215,0
BH_66,141.314,-54.718999999999994,10309.278350515466,-4.157,3.5989999999999998,0,0.023,0
BH_67,141.687,-51.273,10204.08163265306,-3.64,2.8110000000000004,0,0.025,0
BH_72,142.838,-53.04,9090.90909090909,-4.621,3.299,0,0.023,0
BH_73,142.981,-50.225,9523.809523809525,-3.574,2.306,0,0.013999999999999999,0
BH_78,145.952,-56.574,6666.666666666667,-3.69,2.71,0,0.013000000000000001,0
BH_84,150.33100000000002,-58.218,5000.0,-4.848,3.2889999999999997,0,0.024,0
BH_85,150.469,-49.56399999999999,9433.962264150943,-5.689,4.676,0,0.031,0
BH_87,151.148,-55.386,2403.846153846154,-6.335,2.6260000000000003,0,0.066,0
BH_90,153.064,-58.068999999999996,2710.027100271003,-5.385,2.295,0,0.043,0
BH_92,154.779,-56.425,2577.3195876288664,-5.896,3.446,0,0.02,0
BH_99,159.553,-59.168,449.438202247191,-14.494000000000002,0.919,0,0.537,0
Barkhatova_1,313.39799999999997,46.037,2100.8403361344535,-2.44,-4.478,0,0.07200000000000001,0
Basel_1,282.036,-5.876,1904.7619047619046,-0.079,-4.5089999999999995,0,0.07,0
Basel_10,34.878,58.303999999999995,2262.443438914027,-0.48,-0.815,0,0.032,0
Basel_11a,109.296,-13.988,1410.4372355430182,-1.581,0.929,0,0.078,0
Basel_11b,89.54700000000001,21.965,1872.6591760299625,1.046,-4.137,0,0.065,0
Basel_17,167.65,-59.047,2283.1050228310505,-6.627999999999999,2.174,0,0.091,0
Basel_18,201.967,-62.306000000000004,1968.503937007874,-5.008,-2.05,0,0.06,0
Basel_4,87.242,30.19,3496.503496503496,0.835,-1.801,0,0.033,0
Basel_8,98.55,8.005,1600.0,-0.129,-2.373,0,0.309,0
Berkeley_1,2.449,60.476000000000006,4255.319148936171,-2.758,-0.17300000000000001,0,0.036000000000000004,0
Berkeley_10,54.894,66.486,2688.1720430107525,-1.47,1.047,0,0.08199999999999999,0
Berkeley_100,351.485,63.781000000000006,8130.081300813007,-3.372,-1.557,0,0.022000000000000002,0
Berkeley_101,353.213,64.209,5649.717514124294,-1.899,-1.089,0,0.024,0
Berkeley_102,354.66,56.637,20000.0,-1.5590000000000002,-0.34,0,0.049,0
Berkeley_103,356.30300000000005,59.297,10752.68817204301,-1.348,-0.861,0,0.022000000000000002,0
Berkeley_104,0.865,63.586999999999996,5050.50505050505,-2.392,0.09,0,0.038,0
